374 loss is [0.03091456], paramters w:[4.7189449], b:[0.06272519]
375 loss is [0.03044836], paramters w:[4.72107297], b:[0.06311386]
376 loss is [0.02998918], paramters w:[4.72318492], b:[0.06349969]
377 loss is [0.02953693], paramters w:[4.72528087], b:[0.06388268]
378 loss is [0.0290915], paramters w:[4.72736094], b:[0.06426286]
379 loss is [0.02865279], paramters w:[4.72942524], b:[0.06464024]
380 loss is [0.02822069], paramters w:[4.73147391], b:[0.06501485]
381 loss is [0.02779511], paramters w:[4.73350706], b:[0.06538671]
382 loss is [0.02737595], paramters w:[4.7355248], b:[0.06575583]
383 loss is [0.02696311], paramters w:[4.73752726], b:[0.06612224]
384 loss is [0.0265565], paramters w:[4.73951455], b:[0.06648595]
385 loss is [0.02615601], paramters w:[4.74148678], b:[0.06684698]
386 loss is [0.02576157], paramters w:[4.74344407], b:[0.06720535]
387 loss is [0.02537308], paramters w:[4.74538653], b:[0.06756109]
388 loss is [0.02499044], paramters w:[4.74731428], b:[0.0679142]
389 loss is [0.02461357], paramters w:[4.74922743], b:[0.0682647]
390 loss is [0.02424239], paramters w:[4.75112608], b:[0.06861262]
391 loss is [0.02387681], paramters w:[4.75301035], b:[0.06895798]
392 loss is [0.02351673], paramters w:[4.75488034], b:[0.06930078]
393 loss is [0.02316209], paramters w:[4.75673617], b:[0.06964105]
394 loss is [0.0228128], paramters w:[4.75857794], b:[0.06997881]
395 loss is [0.02246877], paramters w:[4.76040576], b:[0.07031408]
396 loss is [0.02212994], paramters w:[4.76221974], b:[0.07064686]
397 loss is [0.02179621], paramters w:[4.76401997], b:[0.07097719]
398 loss is [0.02146751], paramters w:[4.76580657], b:[0.07130507]
399 loss is [0.02114377], paramters w:[4.76757963], b:[0.07163053]
400 loss is [0.02082492], paramters w:[4.76933927], b:[0.07195358]
401 loss is [0.02051087], paramters w:[4.77108558], b:[0.07227423]
402 loss is [0.02020156], paramters w:[4.77281865], b:[0.07259252]
403 loss is [0.01989691], paramters w:[4.77453861], b:[0.07290844]
