237 loss is 13.035009384155273, paramters w:0.08933930099010468, b:-0.06075028330087662
238 loss is 13.033010482788086, paramters w:0.08971133828163147, b:-0.06099807843565941
239 loss is 13.031013488769531, paramters w:0.09008335322141647, b:-0.061245813965797424
240 loss is 13.029016494750977, paramters w:0.09045533835887909, b:-0.061493486166000366
241 loss is 13.027020454406738, paramters w:0.09082729369401932, b:-0.06174109876155853
242 loss is 13.025022506713867, paramters w:0.09119922667741776, b:-0.061988648027181625
243 loss is 13.023028373718262, paramters w:0.0915711298584938, b:-0.06223613768815994
244 loss is 13.021032333374023, paramters w:0.09194300323724747, b:-0.062483567744493484
245 loss is 13.019038200378418, paramters w:0.09231485426425934, b:-0.06273093819618225
246 loss is 13.017044067382812, paramters w:0.09268667548894882, b:-0.06297824531793594
247 loss is 13.015050888061523, paramters w:0.09305846691131592, b:-0.06322549283504486
248 loss is 13.01305866241455, paramters w:0.09343022853136063, b:-0.0634726732969284
249 loss is 13.011065483093262, paramters w:0.09380196779966354, b:-0.06371979415416718
250 loss is 13.009073257446289, paramters w:0.09417367726564407, b:-0.06396685540676117
251 loss is 13.007081985473633, paramters w:0.09454535692930222, b:-0.06421385705471039
252 loss is 13.005090713500977, paramters w:0.09491701424121857, b:-0.06446079909801483
253 loss is 13.003100395202637, paramters w:0.09528864175081253, b:-0.0647076740860939
254 loss is 13.001111030578613, paramters w:0.0956602394580841, b:-0.0649544894695282
255 loss is 12.999120712280273, paramters w:0.09603181481361389, b:-0.06520124524831772
256 loss is 12.99713134765625, paramters w:0.09640336036682129, b:-0.06544794142246246
257 loss is 12.995144844055176, paramters w:0.0967748761177063, b:-0.06569457799196243
258 loss is 12.993154525756836, paramters w:0.09714636206626892, b:-0.06594114750623703
259 loss is 12.991168022155762, paramters w:0.09751782566308975, b:-0.06618765741586685
260 loss is 12.989181518554688, paramters w:0.0978892594575882, b:-0.0664341077208519
261 loss is 12.987195014953613, paramters w:0.09826066344976425, b:-0.06668049842119217
262 loss is 12.985209465026855, paramters w:0.09863204509019852, b:-0.06692682951688766
263 loss is 12.983224868774414, paramters w:0.0990033969283104, b:-0.06717309355735779
264 loss is 12.981237411499023, paramters w:0.09937471896409988, b:-0.06741929799318314
265 loss is 12.979253768920898, paramters w:0.09974601864814758, b:-0.06766544282436371
266 loss is 12.977272033691406, paramters w:0.1001172885298729, b:-0.0679115280508995
267 loss is 12.975288391113281, paramters w:0.10048852860927582, b:-0.06815755367279053
268 loss is 12.973304748535156, paramters w:0.10085973888635635, b:-0.06840351223945618
269 loss is 12.971323013305664, paramters w:0.1012309268116951, b:-0.06864941120147705
270 loss is 12.969342231750488, paramters w:0.10160208493471146, b:-0.06889525055885315
271 loss is 12.967358589172363, paramters w:0.10197321325540543, b:-0.06914103031158447
272 loss is 12.965377807617188, paramters w:0.1023443192243576, b:-0.06938675045967102
273 loss is 12.963397026062012, paramters w:0.1027153953909874, b:-0.06963241100311279
274 loss is 12.961420059204102, paramters w:0.1030864417552948, b:-0.0698780044913292
275 loss is 12.959439277648926, paramters w:0.10345746576786041, b:-0.07012353837490082
276 loss is 12.95745849609375, paramters w:0.10382845997810364, b:-0.07036901265382767
277 loss is 12.955480575561523, paramters w:0.10419942438602448, b:-0.07061442732810974
278 loss is 12.953503608703613, paramters w:0.10457036644220352, b:-0.07085978239774704
279 loss is 12.95152759552002, paramters w:0.10494127869606018, b:-0.07110507786273956
280 loss is 12.949549674987793, paramters w:0.10531216114759445, b:-0.07135030627250671
281 loss is 12.9475736618042, paramters w:0.10568301379680634, b:-0.07159547507762909
282 loss is 12.945597648620605, paramters w:0.10605384409427643, b:-0.07184058427810669
283 loss is 12.943621635437012, paramters w:0.10642464458942413, b:-0.07208563387393951
284 loss is 12.94164752960205, paramters w:0.10679541528224945, b:-0.07233062386512756
285 loss is 12.939672470092773, paramters w:0.10716616362333298, b:-0.07257555425167084
286 loss is 12.937698364257812, paramters w:0.10753688216209412, b:-0.07282041758298874
287 loss is 12.9357271194458, paramters w:0.10790757089853287, b:-0.07306522130966187
288 loss is 12.933753967285156, paramters w:0.10827823728322983, b:-0.07330996543169022
289 loss is 12.931780815124512, paramters w:0.1086488738656044, b:-0.07355464994907379
290 loss is 12.9298095703125, paramters w:0.10901948064565659, b:-0.07379927486181259
291 loss is 12.927838325500488, paramters w:0.10939006507396698, b:-0.07404384016990662
292 loss is 12.925867080688477, paramters w:0.10976061969995499, b:-0.07428834587335587
293 loss is 12.923896789550781, paramters w:0.1101311445236206, b:-0.07453278452157974
294 loss is 12.921926498413086, paramters w:0.11050164699554443, b:-0.07477716356515884
295 loss is 12.919957160949707, paramters w:0.11087211966514587, b:-0.07502148300409317
296 loss is 12.917989730834961, paramters w:0.11124256253242493, b:-0.07526574283838272
297 loss is 12.916020393371582, paramters w:0.11161297559738159, b:-0.0755099430680275
298 loss is 12.914052963256836, paramters w:0.11198336631059647, b:-0.0757540836930275
299 loss is 12.912084579467773, paramters w:0.11235372722148895, b:-0.07599816471338272
300 loss is 12.910120010375977, paramters w:0.11272405833005905, b:-0.07624218612909317
301 loss is 12.90815258026123, paramters w:0.11309436708688736, b:-0.07648614048957825
302 loss is 12.906187057495117, paramters w:0.11346464604139328, b:-0.07673003524541855
303 loss is 12.90422248840332, paramters w:0.11383489519357681, b:-0.07697387039661407
304 loss is 12.902256965637207, paramters w:0.11420512199401855, b:-0.07721764594316483
305 loss is 12.900293350219727, paramters w:0.11457531899213791, b:-0.0774613618850708
306 loss is 12.898327827453613, paramters w:0.11494548618793488, b:-0.077705018222332
307 loss is 12.896367073059082, paramters w:0.11531563103199005, b:-0.07794861495494843
308 loss is 12.894403457641602, paramters w:0.11568574607372284, b:-0.07819215208292007
309 loss is 12.892438888549805, paramters w:0.11605583131313324, b:-0.07843562960624695
310 loss is 12.890478134155273, paramters w:0.11642589420080185, b:-0.07867904007434845
